0.GlossaryDownloaded,0.MissionsCompleted,0.MissionsPlayed,0.SessionTimeSpent,0.StorySkiped,0.helpScreenviewed,0.highScore,0.starTotal,1.Mission1Stage,1.Mission2Stage,1.Mission3Stage,1.Mission4Stage,appData.CaseDetails,appData.CorrectRelease,appData.CurrentLevel,appData.CurrentMission,appData.GlossaryDownloaded,appData.HyperlinksClicked,appData.IncorrectRelease,appData.MissionsCompleted,appData.MissionsPlayed,appData.NumberOfClues,appData.NumberOfErrors,appData.ReplayUsedNumber,appData.SessionTimeSpent,appData.StagePlayed,appData.StorySkiped,appData.TimeSpentStage,appData.ToolsClicked,appData.event_type,appData.helpScreenviewed,appData.highScore,appData.scoreAchieved,appData.starEarned,appData.starTotal,appData.statusCompleted,appData.statusConpleted,appName,buddyIds,createdAt,event_type,language,sessionId,userId
,,,,,,,,,,,,"[u'exactly4rightangles', [u'fig068', u'fig059', u'fig052', u'fig054', None, None, None, None], [u'The culprit has less than 3 equal pairs of sides ', u'The culprit has atleast 4 straight sides', u'The culprit has atleast 1 right angle'], [u'Correct', u'Correct', u'Correct']]","[{""clue"":1,""fig"":[""fig068""]},{""clue"":1,""fig"":[""fig052""]},{""clue"":1,""fig"":[""fig052""]},{""clue"":2,""fig"":[""fig068""]},{""clue"":3,""fig"":[""fig054""]}]",,Mission 1,,"[""right angles""]","[{""clue"":2,""fig"":[""fig059"",""fig054""]},{""clue"":2,""fig"":[""fig054"",""fig068""]}]",,,,,4.0,,3.0,,0:0:27,[],,,,30.0,0.0,,,passed,policesquad,,2018-5-7 12:37:8,stage_end,en,kplei667vysuke6ts8fhzs45s3tbgvdi,1260083
,,,,,,,,,,,,"[u'no1obtuseangles', [u'fig069', u'fig057', u'fig030', u'fig015', u'fig029', u'fig042', None, None], [u'The culprit has atleast 1 right angle', u'The culprit has less than 2 obtuse angles'], [u'Correct', u'Correct']]","[{""clue"":1,""fig"":[""fig069""]},{""clue"":1,""fig"":[""fig069"",""fig057"",""fig029"",""fig042""]},{""clue"":2,""fig"":[""fig015""]}]",,Mission 1,,"[""right angle""]","[{""clue"":2,""fig"":[""fig030""]}]",,,,,5.0,,4.0,,0:2:21,"[""Right Angle tool"",""Parallel Lines tool"",""Equal Sides tool""]",,,,100.0,0.0,,,passed,policesquad,,2018-5-7 12:42:33,stage_end,en,kplei667vysuke6ts8fhzs45s3tbgvdi,1260083
,,,,,,,,,,,,"[u'fig007', [u'fig048', u'fig025', u'fig008', u'fig007', u'fig036', u'fig019', None, None], [u'Does the culprit have less than 4  straight sides?', u'Does the culprit have at least 1 parallel pairs of sides?', u'Does the culprit have at least 5  straight sides?'], [u'Yes', u'No', u'No']]",[],,Mission 2,,"[""straight sides""]","[{""clue"":1,""fig"":[""fig048"",""fig036""]},{""clue"":2,""fig"":[""fig025"",""fig019""]},{""clue"":3,""fig"":[""fig008""]}]",,,,,5.0,,1.0,,0:8:58,"[""Equal Sides marker tool"",""acute angle tool"",""acute angle tool"",""Parallel Lines tool"",""Protractor tool""]",,,,400.0,1.0,,,passed,policesquad,,2018-5-7 12:51:32,stage_end,en,kplei667vysuke6ts8fhzs45s3tbgvdi,1260083
,,,,,,,,,,,,"[u'fig028', [u'fig021', u'fig022', u'fig026', u'fig029', u'fig028', u'fig027', None, None], [u'Does the culprit have at least 3 obtuse angle(s)?', u'Does the culprit have at least 1 right angle(s)?', u'Does the culprit have at least 1 parallel pairs of sides?'], [u'No', u'No', u'No']]",[],,Mission 2,,"[""parallel""]","[{""clue"":1,""fig"":[""fig021"",""fig022"",""fig026""]},{""clue"":2,""fig"":[""fig029""]},{""clue"":3,""fig"":[""fig027""]}]",,,,,6.0,,2.0,,0:3:0,"[""Equal Sides marker tool"",""Equal Sides marker tool"",""obtuse angle tool"",""obtuse angle tool"",""right angle tool""]",,,,250.0,0.0,,,passed,policesquad,,2018-5-7 12:59:4,stage_end,en,kplei667vysuke6ts8fhzs45s3tbgvdi,1260083
,,,,,,,,,,,,"[u'fig026', [u'fig027', u'fig023', u'fig019', u'fig020', u'fig026', u'fig025', u'fig024', u'fig028'], [u'Does the culprit have all  equal side(s)?', u'Does the culprit have all  equal angle(s)?', u'Does the culprit have at least 2 parallel pairs of sides?'], [u'Yes', u'Yes', u'Yes']]",[],,Mission 2,,"[""parallel""]","[{""clue"":1,""fig"":[""fig027"",""fig019"",""fig020"",""fig028""]},{""clue"":2,""fig"":[""fig023"",""fig024""]},{""clue"":3,""fig"":[""fig025""]}]",,,,,6.0,,3.0,,0:9:40,"[""Equal Sides marker tool""]",,,,560.0,1.0,,,passed,policesquad,,2018-5-7 13:8:51,stage_end,en,kplei667vysuke6ts8fhzs45s3tbgvdi,1260083
,,,,,,,,,,,,"[u'exactly5emptysides', [u'fig022', u'fig059', u'fig032', u'fig025', None, None, None, None], [u'The culprit has more than 4 straight sides', u'The culprit has exactly 2 equal pairs of sides '], [u'Correct', u'Correct']]","[{""clue"":1,""fig"":[""fig022""]},{""clue"":1,""fig"":[""fig022""]},{""clue"":2,""fig"":[""fig059"",""fig025""]}]",,Mission 1,,"[""equal pairs of sides""]","[{""clue"":2,""fig"":[""fig032""]}]",,,,,1.0,,1.0,,0:1:31,"[""Equal Sides tool"",""Equal Sides tool"",""Equal Sides tool""]",,,,30.0,0.0,,,passed,policesquad,,2018-5-7 13:55:32,stage_end,en,jod4zloywtzsc6cfnbbrrowzwjfk77v0,1260083
,,,,,,,,,,,,"[u'no1equalpairsofsides', [u'fig059', u'fig032', u'fig041', u'fig042', None, None, None, None], [u'The culprit has exactly 3 right angles', u'The culprit has less than 4 right angles'], [u'Correct', u'Correct']]","[{""clue"":1,""fig"":[""fig059""]},{""clue"":1,""fig"":[""fig059""]},{""clue"":2,""fig"":[""fig032"",""fig042""]}]",,Mission 1,,[],"[{""clue"":2,""fig"":[""fig041""]}]",,,,,2.0,,2.0,,0:0:45,"[""Equal Sides tool""]",,,,30.0,0.0,,,passed,policesquad,,2018-5-7 14:2:57,stage_end,en,jod4zloywtzsc6cfnbbrrowzwjfk77v0,1260083
,,,,,,,,,,,,"[u'exactly3rightangles', [u'fig044', u'fig046', u'fig047', u'fig006', None, None, None, None], [u'The culprit has exactly 3 right angles', u'The culprit has atleast 6 straight sides', u'The culprit has atleast 1 right angle'], [u'Incorrect', u'Correct', u'Correct']]","[{""clue"":1,""fig"":[""fig006""]},{""clue"":1,""fig"":[""fig044""]},{""clue"":2,""fig"":[""fig006""]}]",,Mission 1,,[],"[{""clue"":2,""fig"":[""fig046"",""fig047""]},{""clue"":3,""fig"":[""fig047""]}]",,,,,3.0,,3.0,,0:2:19,"[""Parallel Lines tool"",""Right Angle tool""]",,,,20.0,0.0,,,failed,policesquad,,2018-5-7 14:10:38,stage_end,en,jod4zloywtzsc6cfnbbrrowzwjfk77v0,1260083
,,,,,,,,,,,,"[u'fig048', [u'fig025', u'fig048', u'fig036', u'fig019', u'fig008', u'fig007', None, None], [u'Does the culprit have more than 5  straight sides?', u'Does the culprit have more than 4  straight sides?', u'Does the culprit have at least 3 equal side(s)?', u'Does the culprit have exactly 4  straight sides?'], [u'Yes', u'Yes', u'Yes', u'No']]","[{""clue"":1,""fig"":[""fig025"",""fig019""]}]",,Mission 2,,[],"[{""clue"":2,""fig"":[""fig008"",""fig007""]},{""clue"":4,""fig"":[""fig036""]}]",,,,,3.0,,1.0,,0:8:21,[],,,,160.0,0.0,,,passed,policesquad,,2018-5-7 14:18:59,stage_end,en,jod4zloywtzsc6cfnbbrrowzwjfk77v0,1260083
,,,,,,,,,,,,"[u'fig007', [u'fig007', u'fig005', u'fig004', u'fig006', u'fig003', u'fig002', None, None], [u'Does the culprit have at least 1 equal pairs of sides ?', u'Does the culprit have at least 1 obtuse angle(s)?', u'Does the culprit have at least 1 equal pairs of sides ?', u'Does the culprit have at least 1 right angle(s)?', u'Does the culprit have at least 3  straight sides?'], [u'No', u'Yes', u'No', u'No', u'Yes']]","[{""clue"":3,""fig"":[""fig002""]}]",,Mission 2,,[],"[{""clue"":2,""fig"":[""fig006"",""fig003""]},{""clue"":4,""fig"":[""fig005""]},{""clue"":5,""fig"":[""fig004""]}]",,,,,3.0,,2.0,,0:13:32,[],,,,200.0,0.0,,,passed,policesquad,,2018-5-7 14:32:58,stage_end,en,jod4zloywtzsc6cfnbbrrowzwjfk77v0,1260083
,,,,,,,,,,,,"[u'fig024', [u'fig024', u'fig022', u'fig011', u'fig008', u'fig028', u'fig016', u'fig010', u'fig026'], [u'Does the culprit have at least 1 right angle(s)?', u'Does the culprit have at least 1 equal pairs of sides ?', u'Does the culprit have at least 1 right angle(s)?', u'Does the culprit have at least 1 reflex angle(s)?'], [u'No', u'Yes', u'No', u'No']]","[{""clue"":2,""fig"":[""fig024"",""fig026""]}]",,Mission 2,,[],"[{""clue"":1,""fig"":[""fig011"",""fig008"",""fig010""]},{""clue"":3,""fig"":[""fig022""]},{""clue"":4,""fig"":[""fig016""]}]",,,,,3.0,,3.0,,0:42:3,"[""right angle tool"",""Equal Sides marker tool""]",,,,360.0,0.0,,,failed,policesquad,,2018-5-7 15:15:9,stage_end,en,jod4zloywtzsc6cfnbbrrowzwjfk77v0,1260083
,,,,,,,,,,,,"[u'exactly2rightangles', [u'fig017', u'fig056', u'fig057', u'fig019', None, None, None, None], [u'The culprit has more than 2 equal pairs of sides ', u'The culprit has atleast 6 straight sides'], [u'Correct', u'Incorrect']]","[{""clue"":2,""fig"":[""fig017""]}]",,Mission 1,,[],"[{""clue"":1,""fig"":[""fig028"",""fig027"",""fig020"",""fig019""]},{""clue"":2,""fig"":[""fig023"",""fig024""]},{""clue"":1,""fig"":[""fig056"",""fig019""]}]",,,,,3.0,,3.0,,0:3:0,[],,,,30.0,0.0,,,failed,policesquad,,2018-5-7 17:2:1,stage_end,en,jod4zloywtzsc6cfnbbrrowzwjfk77v0,1260083
,,,,,,,,,,,,"[u'exactly2rightangles', [u'fig034', u'fig051', u'fig025', u'fig019', None, None, None, None], [u'The culprit has exactly 2 right angles', u'The culprit has less than 4 right angles'], [u'Correct', u'Incorrect']]","[{""clue"":2,""fig"":[""fig034""]}]",,Mission 1,,[],"[{""clue"":1,""fig"":[""fig025"",""fig019""]}]",,,,,3.0,,3.0,,0:19:12,[],,,,30.0,0.0,,,passed,policesquad,,2018-5-7 17:21:14,stage_end,en,jod4zloywtzsc6cfnbbrrowzwjfk77v0,1260083
,,,,,,,,,,,,"[u'all1obtuseangles', [u'fig071', u'fig056', u'fig041', u'fig003', u'fig070', u'fig015', None, None], [u'The culprit has less than 3 equal pairs of sides ', u'The culprit has less than 6 straight sides', u'The culprit has atleast 1 obtuse angle', u'The culprit has less than 3 right angles'], [u'Correct', u'Incorrect', u'Correct', u'Incorrect']]","[{""clue"":2,""fig"":[""fig003"",""fig070""]},{""clue"":4,""fig"":[""fig056""]}]",,Mission 1,,[],"[{""clue"":1,""fig"":[""fig015""]},{""clue"":3,""fig"":[""fig071""]}]",,,,,3.0,,4.0,,0:1:42,[],,,,80.0,0.0,,,failed,policesquad,,2018-5-7 17:31:51,stage_end,en,jod4zloywtzsc6cfnbbrrowzwjfk77v0,1260083
,,,,,,,,,,,,"[u'fig031', [u'fig030', u'fig031', u'fig015', u'fig019', u'fig048', u'fig001', None, None], [u'Does the culprit have at least 1 parallel pairs of sides?', u'Does the culprit have exactly 5  straight sides?', u'Does the culprit have at least 5  straight sides?'], [u'No', u'Yes', u'Yes']]","[{""clue"":1,""fig"":[""fig015"",""fig019"",""fig048""]},{""clue"":3,""fig"":[""fig031""]}]",,Mission 2,,[],"[{""clue"":2,""fig"":[""fig001""]}]",,,,,0.0,,1.0,,423804:16:9,[],,,,160.0,0.0,,,failed,policesquad,,2018-5-7 17:46:9,stage_end,en,84r8e7ytccjsrtpk495yc9eytqk07b9s,1260083
,,,,,,,,,,,,"[u'fig001', [u'fig001', u'fig030', u'fig019', u'fig015', u'fig048', u'fig031', None, None], [u'Does the culprit have exactly 2 acute angle(s)?', u'Does the culprit have at least 5  angle(s)?'], [u'No', u'No']]","[{""clue"":1,""fig"":[""fig030"",""fig048"",""fig031""]},{""clue"":2,""fig"":[""fig019"",""fig015""]}]",,Mission 2,False,[],[],"[0, 0, 0, 0]","[0, 1, 0, 0]",,,0.0,,1.0,True,423880:18:31,[],,,400.0,400.0,1.0,2.0,,passed,policesquad,,2018-5-10 21:48:31,stage_end,en,k8vu0h5xskab181mtx4jdyfqj59tjpof,1260083
,,,,,,,,,,,,"[u'fig022', [u'fig027', u'fig026', u'fig029', u'fig021', u'fig022', u'fig028', None, None], [u'Does the culprit have at least 2 right angle(s)?', u'Does the culprit have at least 2 equal pairs of sides ?'], [u'No', u'No']]","[{""clue"":2,""fig"":[""fig026"",""fig021""]}]",,Mission 2,False,"[""right angle""]","[{""clue"":1,""fig"":[""fig027"",""fig029"",""fig028""]}]","[0, 0, 0, 0]","[0, 1, 0, 0]",,,0.0,,2.0,True,0:5:59,"[""Equal Sides marker tool"",""Equal Sides marker tool"",""Parallel Lines tool""]",,,400.0,250.0,0.0,2.0,,passed,policesquad,,2018-5-10 21:54:37,stage_end,en,k8vu0h5xskab181mtx4jdyfqj59tjpof,1260083
,,,,,,,,,,,,"[u'fig024', [u'fig019', u'fig020', u'fig024', u'fig026', u'fig027', u'fig028', u'fig025', u'fig023'], [u'Does the culprit have all  equal side(s)?', u'Does the culprit have exactly 1 parallel pairs of sides?', u'Does the culprit have less than 1 right angle(s)?', u'Does the culprit have at least 1 parallel pairs of sides?'], [u'Yes', u'No', u'Yes', u'Yes']]","[{""clue"":1,""fig"":[""fig027"",""fig028""]},{""clue"":2,""fig"":[""fig020"",""fig026"",""fig025""]},{""clue"":3,""fig"":[""fig019""]},{""clue"":4,""fig"":[""fig023""]}]",,Mission 2,False,[],[],"[0, 0, 0, 0]","[0, 1, 0, 0]",,,0.0,,3.0,True,0:10:42,"[""right angle tool"",""acute angle tool"",""acute angle tool"",""Protractor tool""]",,,560.0,560.0,1.0,4.0,,passed,policesquad,,2018-5-10 22:5:30,stage_end,en,k8vu0h5xskab181mtx4jdyfqj59tjpof,1260083
,,,,,,,,,,,,"[u'fig019', [u'fig019', u'fig036', u'fig008', u'fig007', u'fig048', u'fig025', None, None], [u'Does the culprit have at least 1 reflex angle(s)?', u'Does the culprit have at least 1 equal pairs of sides ?', u'Does the culprit have at least 2 acute angle(s)?'], [u'No', u'Yes', u'Yes']]","[{""clue"":1,""fig"":[""fig036"",""fig048"",""fig025""]},{""clue"":2,""fig"":[""fig007""]},{""clue"":3,""fig"":[""fig008""]}]",,Mission 2,False,[],[],"[0, 0, 0, 0]","[0, 1, 0, 0]",,,1.0,,1.0,True,0:2:18,"[""acute angle tool"",""acute angle tool"",""Parallel Lines tool"",""Equal Sides marker tool""]",,,200.0,200.0,0.0,0.0,,passed,policesquad,,2018-5-10 22:18:9,stage_end,en,ks9xoq3vqfr2ci312e4ny9v9wr0wjg7b,1260083
,,,,,,,,,,,,"[u'fig021', [u'fig027', u'fig026', u'fig021', u'fig029', u'fig028', u'fig022', None, None], [u'Does the culprit have exactly 1 right angle(s)?', u'Does the culprit have all  equal angle(s)?', u'Does the culprit have at least 1 parallel pairs of sides?'], [u'No', u'No', u'Yes']]","[{""clue"":2,""fig"":[""fig026""]},{""clue"":3,""fig"":[""fig029""]}]",,Mission 2,False,[],"[{""clue"":1,""fig"":[""fig027"",""fig021"",""fig028""]}]","[0, 0, 0, 0]","[0, 1, 0, 0]",,,1.0,,2.0,True,0:7:55,"[""right angle tool""]",,,250.0,250.0,0.0,0.0,,failed,policesquad,,2018-5-10 22:26:28,stage_end,en,ks9xoq3vqfr2ci312e4ny9v9wr0wjg7b,1260083
,,,,,,,,,,,,"[u'No curved sides yes', [u'fig060', u'fig053', u'fig044', u'fig030', u'fig064', u'fig069', u'fig068', u'fig065', u'fig037'], [u'Send agent having no  curved side(s)?'], [u'']]",[],,Mission 3,False,[],[],"[0, 0, 0, 0]","[0, 0, 1, 0]",,,0.0,,1.0,True,0:1:12,[],,,710.0,710.0,1.0,3.0,,passed,policesquad,,2018-5-10 22:37:17,stage_end,en,nu0vrq5lqq7zrzv4fpyb1uakh86jowsk,1260083
,,,,,,,,,,,,"[u'Exactly n sides (3>= n <= 6). n equals 6', [u'fig051', u'fig046', u'fig044', u'fig048', u'fig059', u'fig061', u'fig032', u'fig062', u'fig057'], [u'Send agent having at least 6  straight sides?'], [u'']]",[],,Mission 3,False,[],[],"[0, 0, 0, 0]","[0, 0, 1, 0]",,,0.0,,2.0,True,0:4:28,[],,,710.0,710.0,1.0,6.0,,passed,policesquad,,2018-5-10 22:41:46,stage_end,en,nu0vrq5lqq7zrzv4fpyb1uakh86jowsk,1260083
,,,,,,,,,,,,"[u'All sides equal', [u'fig053', u'fig061', u'fig036', u'fig026', u'fig052', u'fig016', u'fig014', u'fig033', u'fig024'], [u'Send agent having all  equal side(s)?'], [u'']]",[],,Mission 3,False,[],[],"[0, 0, 0, 0]","[0, 0, 1, 0]",,,0.0,,3.0,True,0:0:17,[],,,740.0,740.0,1.0,9.0,,passed,policesquad,,2018-5-10 22:42:9,stage_end,en,nu0vrq5lqq7zrzv4fpyb1uakh86jowsk,1260083
,,,,,,,,,,,,"[u'Exactly 2 pair of sides parallel', [u'fig038', u'fig020', u'fig068', u'fig069', u'fig036', u'fig063', u'fig051', u'fig025', u'fig042'], [u'Send agent having exactly 1 parallel pairs of sides?', u'Send agent having at least 1 curved side(s)?'], [u'', u'Allowed']]",[],,Mission 3,False,[],[],"[0, 0, 0, 0]","[0, 0, 1, 0]",,,0.0,,4.0,True,0:2:1,[],,,740.0,240.0,0.0,9.0,,passed,policesquad,,2018-5-10 22:44:11,stage_end,en,nu0vrq5lqq7zrzv4fpyb1uakh86jowsk,1260083
,,,,,,,,,,,,"[u'At least 1 right angle', [u'fig059', u'fig025', u'fig033', u'fig054', u'fig004', u'fig043', u'fig058', u'fig019', u'fig029'], [u'Send agent having at least 1 right angle(s)?'], [u'']]",[],,Mission 3,False,[],[],"[0, 0, 0, 0]","[0, 0, 1, 0]",,,0.0,,5.0,True,0:4:18,[],,,860.0,860.0,1.0,12.0,,passed,policesquad,,2018-5-10 22:48:36,stage_end,en,nu0vrq5lqq7zrzv4fpyb1uakh86jowsk,1260083
,,,,,,,,,,,,"[u'exactly4emptysides', [u'fig071', u'fig046', u'fig025', u'fig056', None, None, None, None], [u'The culprit has less than 6 straight sides', u'The culprit has less than 3 equal pairs of sides ', u'The culprit has no curved sides'], [u'Correct', u'Correct', u'Correct']]","[{""clue"":1,""fig"":[""fig071""]},{""clue"":2,""fig"":[""fig056""]},{""clue"":3,""fig"":[""fig046""]}]",,Mission 1,False,[],[],"[0, 0, 1, 0]","[1, 0, 1, 0]",,,2.0,,1.0,True,0:1:58,"[""Equal Sides tool""]",,,860.0,80.0,1.0,13.0,,passed,policesquad,,2018-5-10 22:54:37,stage_end,en,nu0vrq5lqq7zrzv4fpyb1uakh86jowsk,1260083
,,,,,,,,,,,,"[u'fig024', [u'fig020', u'fig030', u'fig052', u'fig048', u'fig024', u'fig015', None, None], [u'Does the culprit have at least 2 equal pairs of sides ?', u'Does the culprit have at least 2 right angle(s)?', u'Does the culprit have at least 5  straight sides?'], [u'Yes', u'No', u'No']]","[{""clue"":1,""fig"":[""fig030"",""fig052"",""fig048""]},{""clue"":2,""fig"":[""fig020""]},{""clue"":3,""fig"":[""fig015""]}]",,Mission 2,False,[],[],"[0, 0, 1, 0]","[1, 1, 1, 0]",,,2.0,,1.0,True,0:6:16,"[""Equal Sides marker tool"",""Equal Sides marker tool"",""right angle tool"",""right angle tool"",""right angle tool"",""right angle tool"",""acute angle tool"",""obtuse angle tool"",""reflex angle tool"",""Parallel Lines tool""]",,,860.0,400.0,1.0,15.0,,passed,policesquad,,2018-5-10 23:0:54,stage_end,en,nu0vrq5lqq7zrzv4fpyb1uakh86jowsk,1260083
